FL_Round,Epoch,Node_ID,Accuracy,Loss,Validation_Accuracy,Validation_Loss,FP,TP,FN,TN,Gradient_Norm,Epoch_Time,Aggregation_Time,FL_Round_Time,Convergence_Time
13,3,0,0.7899503111839294,0.5135236382484436,0.7897241711616516,0.5137357711791992,0,240,20410,76413,57.856995,11.366570949554443,1.2159347534179688e-05,0.0,86.45850396156311
13,4,0,0.7899503111839294,0.5135272741317749,0.7897241711616516,0.5137355327606201,0,240,20410,76413,22.490093,12.60684084892273,1.2159347534179688e-05,0.0,86.45850396156311
13,5,0,0.7899503111839294,0.5135255455970764,0.7897241711616516,0.5137346982955933,0,240,20410,76413,22.29313,11.607679843902588,0.0,89.2204201221466,86.45850396156311
14,1,0,0.7899503111839294,0.5135288834571838,0.7897241711616516,0.5137346982955933,0,240,20410,76413,57.344788,10.372785091400146,1.0013580322265625e-05,0.0,86.45850396156311
14,2,0,0.7899503111839294,0.5135251879692078,0.7897241711616516,0.5137324929237366,0,240,20410,76413,13.388632,10.10258674621582,1.0013580322265625e-05,0.0,86.45850396156311
14,3,0,0.7899503111839294,0.5135298371315002,0.7897241711616516,0.5137357115745544,0,240,20410,76413,15.591892,9.861059188842773,1.4066696166992188e-05,0.0,86.45850396156311
14,4,0,0.7899503111839294,0.5135312080383301,0.7897241711616516,0.5137335658073425,0,240,20410,76413,43.154404,11.014193773269653,1.0013580322265625e-05,0.0,86.45850396156311
14,5,0,0.7899503111839294,0.513524055480957,0.7897241711616516,0.5137333273887634,0,240,20410,76413,17.356287,11.38975477218628,0.0,84.44552087783813,86.45850396156311
15,1,0,0.7899503111839294,0.51352858543396,0.7897241711616516,0.5137320756912231,0,240,20410,76413,2.9766312,11.211745023727417,1.3113021850585938e-05,0.0,86.45850396156311
15,2,0,0.7899503111839294,0.5135263800621033,0.7897241711616516,0.5137348771095276,0,240,20410,76413,13.007423,10.39189100265503,1.0967254638671875e-05,0.0,86.45850396156311
15,3,0,0.7899503111839294,0.5135253667831421,0.7897241711616516,0.5137308239936829,0,240,20410,76413,5.014166,11.201884984970093,1.0013580322265625e-05,0.0,86.45850396156311
15,4,0,0.7899503111839294,0.513526201248169,0.7897241711616516,0.5137327909469604,0,240,20410,76413,19.670544,10.913933753967285,1.0013580322265625e-05,0.0,86.45850396156311
15,5,0,0.7899503111839294,0.5135307908058167,0.7897241711616516,0.5137357115745544,0,240,20410,76413,22.691055,10.649806022644043,0.0,86.45851492881775,86.45850396156311
1,1,1,0.7890282273292542,102957026639872.0,0.7885394096374512,0.5145694017410278,0,0,20525,76538,2279.9077,11.534117221832275,0.008276939392089844,0.0,73.35803389549255
