FL_Round,Epoch,Node_ID,Accuracy,Loss,Val_Accuracy,Val_Loss,FP,TP,FN,TN,Gradient_Norm,Epoch_Time,Server_Node,CPU_Usage,Memory_Usage,FL_Round_Time,Convergence_Time,Model_Size,Model_Complexity
1,3,4,0.7886022925376892,29.790285110473633,0.787789523601532,0.6177127957344055,0,0,20598,76466,20753.527,8.68917202949524,4,6.3,63.9,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,4,0,0.7878228425979614,37.368412017822266,0.7872515916824341,0.6183449625968933,0,0,20650,76413,20730.648,9.308465957641602,4,6.1,64.2,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,4,1,0.7890514135360718,42.84797286987305,0.7885394096374512,0.6174873113632202,0,0,20525,76538,20800.453,10.207043647766113,4,13.3,65.3,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,4,2,0.7883302569389343,32.27814865112305,0.7862728238105774,0.6193066835403442,0,0,20745,76318,20853.21,9.6634361743927,4,3.8,66.0,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,4,3,0.7888144254684448,44.74343490600586,0.788992702960968,0.6187160015106201,0,0,20481,76582,20927.168,9.017819881439209,4,4.2,66.1,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,4,4,0.788584291934967,40.187408447265625,0.787789523601532,0.6179025769233704,0,0,20598,76466,20773.645,9.765802145004272,4,3.8,66.4,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,5,0,0.7878357172012329,37.343482971191406,0.7872515916824341,0.6179447770118713,0,0,20650,76413,20686.215,8.86880898475647,4,5.2,66.9,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,5,1,0.7890720367431641,42.602169036865234,0.7885394096374512,0.617829442024231,0,0,20525,76538,20838.965,9.812828063964844,4,6.1,67.7,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,5,2,0.7882786989212036,45.003170013427734,0.7862728238105774,0.6181806325912476,0,0,20745,76318,20727.482,9.267290115356445,4,2.8,67.8,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,5,3,0.7888092994689941,45.29519271850586,0.788992702960968,0.6172553300857544,0,0,20481,76582,20766.371,8.521967887878418,4,26.0,68.6,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,5,4,0.7886022925376892,32.59558868408203,0.787789523601532,0.6177129149436951,0,0,20598,76466,20753.65,11.241772890090942,4,6.0,69.2,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,6,0,0.7878357172012329,37.86943817138672,0.7872515916824341,0.6181702017784119,0,0,20650,76413,20711.398,10.029562950134277,4,8.2,69.7,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,6,1,0.7890874743461609,27.65235710144043,0.7885394096374512,0.6180821061134338,0,0,20525,76538,20865.756,9.884302139282227,4,2.6,56.5,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,6,2,0.788309633731842,42.7001953125,0.7862728238105774,0.6185082793235779,0,0,20745,76318,20765.318,9.10831618309021,4,2.8,57.7,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,6,3,0.7888453602790833,34.822288513183594,0.788992702960968,0.6176508069038391,0,0,20481,76582,20810.002,9.48612904548645,4,5.1,59.0,3327.799691915512,3327.799691915512,0.000499725341796875,131
1,6,4,0.7886022925376892,37.4666862487793,0.787789523601532,0.6184137463569641,0,0,20598,76466,20831.502,9.102211236953735,4,3.2,59.4,3327.799691915512,3327.799691915512,0.000499725341796875,131
